source,target,weight
francés,coupage,768
boca,potente,768
elaborado,negro,767
entrada,densa,767
ribete,ahumado,766
lágrima,dulce,766
syrah,roble,765
brillante,vainilla,765
salud,nota,765
barrica,cuero,765
aterciopelada,acidez,764
elaborado,madura,764
gusto,fruta,764
vainilla,entrada,764
fruta,añada,763
acidez,pimienta,763
café,ribete,763
acidez,especiado,763
cacao,crianza,762
tostado,madera,762
acidez,arándano,762
toque,uva,762
especia,madera,761
sabroso,final,761
recomendable,roble,761
blanca,crianza,761
francés,toque,760
negro,ahumado,760
amoratado,color,760
tostado,volúmen,760
fina,regaliz,759
picota,americano,759
especiado,negro,759
mora,rojo,759
elegante,nariz,759
syrah,garnacha,758
capa,pimienta,758
nota,agradable,757
excelente,crianza,757
brillante,elaborado,757
elegante,largo,757
ligero,color,756
elaborado,toque,755
volúmen,monovarietal,755
tanino,pimienta,755
tanino,especiado,754
fruta,grosella,754
mineral,persistencia,754
francés,aroma,753
salud,entrada,753
rf,fruta,753
francés,untuoso,753
granate,crianza,753
tanino,violáceo,753
salud,ribete,751
nariz,pimienta,751
tinta,fruta,751
mora,madura,750
nariz,fondo,749
cereza,cuero,749
nota,cacao,749
